code,section,date,open,high,low,close,vol,value,n_stock,foreign_vol,agency_buy,agency_netbuy,weekday,year,month,day
A003490,KOSPI,1980-10-04,808,815,806,806,5050,0,0,0,0,0,7,1980,10,4
A003490,KOSPI,1980-10-06,790,805,764,782,7904,0,0,0,0,0,2,1980,10,6
A003490,KOSPI,1980-10-07,780,780,745,745,7449,0,0,0,0,0,3,1980,10,7
A003490,KOSPI,1980-10-08,738,740,727,733,12071,0,0,0,0,0,4,1980,10,8
A003490,KOSPI,1980-10-10,726,727,712,719,8257,0,0,0,0,0,6,1980,10,10
A003490,KOSPI,1980-10-11,719,771,719,771,5193,0,0,0,0,0,7,1980,10,11
A003490,KOSPI,1980-10-13,813,813,776,797,10892,0,0,0,0,0,2,1980,10,13
A003490,KOSPI,1980-10-14,796,799,782,789,4890,0,0,0,0,0,3,1980,10,14
A003490,KOSPI,1980-10-15,761,783,755,762,7997,0,0,0,0,0,4,1980,10,15
A003490,KOSPI,1980-10-16,783,794,771,771,7651,0,0,0,0,0,5,1980,10,16
A003490,KOSPI,1980-10-17,771,771,736,736,2895,0,0,0,0,0,6,1980,10,17
A003490,KOSPI,1980-10-18,736,754,727,734,7306,0,0,0,0,0,7,1980,10,18
A003490,KOSPI,1980-10-20,736,736,719,727,6523,0,0,0,0,0,2,1980,10,20
A003490,KOSPI,1980-10-21,736,741,720,727,4217,0,0,0,0,0,3,1980,10,21
A003490,KOSPI,1980-10-23,738,740,731,731,5934,0,0,0,0,0,5,1980,10,23
A003490,KOSPI,1980-10-24,719,736,717,729,10960,0,0,0,0,0,6,1980,10,24
A003490,KOSPI,1980-10-25,736,736,719,724,2011,0,0,0,0,0,7,1980,10,25
A003490,KOSPI,1980-10-27,717,717,696,701,6195,0,0,0,0,0,2,1980,10,27
A003490,KOSPI,1980-10-28,683,699,683,692,5572,0,0,0,0,0,3,1980,10,28
A003490,KOSPI,1980-10-29,692,694,676,683,7289,0,0,0,0,0,4,1980,10,29
A003490,KOSPI,1980-10-30,692,698,683,698,6582,0,0,0,0,0,5,1980,10,30
A003490,KOSPI,1980-10-31,692,694,683,683,4057,0,0,0,0,0,6,1980,10,31
A003490,KOSPI,1980-11-01,682,682,668,675,3038,0,0,0,0,0,7,1980,11,1
A003490,KOSPI,1980-11-03,675,680,666,666,4461,0,0,0,0,0,2,1980,11,3
A003490,KOSPI,1980-11-04,668,671,648,648,6111,0,0,0,0,0,3,1980,11,4
A003490,KOSPI,1980-11-05,640,645,599,601,4890,0,0,0,0,0,4,1980,11,5
A003490,KOSPI,1980-11-06,601,610,569,578,9091,0,0,0,0,0,5,1980,11,6
A003490,KOSPI,1980-11-07,578,631,569,631,5917,0,0,0,0,0,6,1980,11,7
A003490,KOSPI,1980-11-08,683,683,683,683,7626,0,0,0,0,0,7,1980,11,8
A003490,KOSPI,1980-11-10,701,706,666,687,19495,0,0,0,0,0,2,1980,11,10
A003490,KOSPI,1980-11-11,675,676,640,640,7054,0,0,0,0,0,3,1980,11,11
A003490,KOSPI,1980-11-12,617,620,587,598,7870,0,0,0,0,0,4,1980,11,12
A003490,KOSPI,1980-11-13,598,615,578,578,10042,0,0,0,0,0,5,1980,11,13
A003490,KOSPI,1980-11-14,580,631,580,631,10850,0,0,0,0,0,6,1980,11,14
A003490,KOSPI,1980-11-15,613,613,596,605,9175,0,0,0,0,0,7,1980,11,15
A003490,KOSPI,1980-11-17,605,606,596,596,3493,0,0,0,0,0,2,1980,11,17
A003490,KOSPI,1980-11-18,596,599,585,592,7365,0,0,0,0,0,3,1980,11,18
A003490,KOSPI,1980-11-19,540,561,540,561,31769,0,0,0,0,0,4,1980,11,19
A003490,KOSPI,1980-11-20,566,587,564,584,11052,0,0,0,0,0,5,1980,11,20
A003490,KOSPI,1980-11-21,584,594,578,582,7643,0,0,0,0,0,6,1980,11,21
A003490,KOSPI,1980-11-22,580,587,578,587,6439,0,0,0,0,0,7,1980,11,22
A003490,KOSPI,1980-11-24,587,594,585,589,3577,0,0,0,0,0,2,1980,11,24
A003490,KOSPI,1980-11-25,589,589,584,587,7357,0,0,0,0,0,3,1980,11,25
A003490,KOSPI,1980-11-26,587,601,578,601,9284,0,0,0,0,0,4,1980,11,26
A003490,KOSPI,1980-11-27,596,605,596,596,12904,0,0,0,0,0,5,1980,11,27
A003490,KOSPI,1980-11-28,594,594,584,587,2028,0,0,0,0,0,6,1980,11,28
A003490,KOSPI,1980-11-29,587,592,587,592,2752,0,0,0,0,0,7,1980,11,29
A003490,KOSPI,1980-12-01,594,594,589,589,1666,0,0,0,0,0,2,1980,12,1
A003490,KOSPI,1980-12-02,587,587,578,578,2601,0,0,0,0,0,3,1980,12,2
A003490,KOSPI,1980-12-03,578,584,562,569,4006,0,0,0,0,0,4,1980,12,3
A003490,KOSPI,1980-12-04,569,571,566,571,2727,0,0,0,0,0,5,1980,12,4
A003490,KOSPI,1980-12-05,566,568,561,568,3518,0,0,0,0,0,6,1980,12,5
A003490,KOSPI,1980-12-06,571,573,562,569,580,0,0,0,0,0,7,1980,12,6
A003490,KOSPI,1980-12-08,569,569,562,562,2853,0,0,0,0,0,2,1980,12,8
A003490,KOSPI,1980-12-09,561,561,543,545,5025,0,0,0,0,0,3,1980,12,9
A003490,KOSPI,1980-12-10,545,545,534,536,6532,0,0,0,0,0,4,1980,12,10
A003490,KOSPI,1980-12-11,534,534,519,519,6675,0,0,0,0,0,5,1980,12,11
A003490,KOSPI,1980-12-12,519,519,508,510,6313,0,0,0,0,0,6,1980,12,12
A003490,KOSPI,1980-12-13,508,508,506,506,3240,0,0,0,0,0,7,1980,12,13
A003490,KOSPI,1980-12-15,508,517,505,505,5412,0,0,0,0,0,2,1980,12,15
A003490,KOSPI,1980-12-16,499,501,492,492,4823,0,0,0,0,0,3,1980,12,16
A003490,KOSPI,1980-12-17,489,489,466,466,8291,0,0,0,0,0,4,1980,12,17
A003490,KOSPI,1980-12-18,464,473,464,473,3712,0,0,0,0,0,5,1980,12,18
A003490,KOSPI,1980-12-19,482,517,482,506,7163,0,0,0,0,0,6,1980,12,19
A003490,KOSPI,1980-12-20,508,508,499,499,2979,0,0,0,0,0,7,1980,12,20
A003490,KOSPI,1980-12-22,499,499,475,487,6801,0,0,0,0,0,2,1980,12,22
A003490,KOSPI,1980-12-23,482,482,473,473,7921,0,0,0,0,0,3,1980,12,23
A003490,KOSPI,1980-12-24,478,499,477,499,11498,0,0,0,0,0,4,1980,12,24
A003490,KOSPI,1981-01-05,543,545,526,534,2070,0,0,0,0,0,2,1981,1,5
A003490,KOSPI,1981-01-06,540,587,540,578,9428,0,0,0,0,0,3,1981,1,6
A003490,KOSPI,1981-01-07,578,578,554,554,6001,0,0,0,0,0,4,1981,1,7
A003490,KOSPI,1981-01-08,550,606,550,606,16128,0,0,0,0,0,5,1981,1,8
A003490,KOSPI,1981-01-09,605,613,594,594,14933,0,0,0,0,0,6,1981,1,9
A003490,KOSPI,1981-01-10,594,594,582,594,5160,0,0,0,0,0,7,1981,1,10
